"","Var1","Freq"
"234","Human immunodeficiency virus 1",127
"24","Avian avulavirus 1",23
"202","Hepacivirus C",23
"203","Hepatitis B virus",22
"218","Human betaherpesvirus 5",17
"418","Rabies lyssavirus",17
"237","Human metapneumovirus",13
"206","Hepatitis E virus",12
"332","Measles morbillivirus",12
"239","Human papillomavirus",11
"473","Simian immunodeficiency virus",10
"26","Avian leukosis virus",8
"439","Rubella virus",7
"574","West Nile virus",7
"75","Canine morbillivirus",6
"147","Enterovirus A71",6
"177","GB virus C",6
"238","Human orthopneumovirus",6
"245","Human poliovirus 1",6
"252","Human rotavirus A",6
"265","Infectious bursal disease virus",6
"266","Infectious hematopoietic necrosis virus",6
"300","Japanese encephalitis virus",6
"322","Macacine alphaherpesvirus 1",6
"401","Porcine reproductive and respiratory syndrome virus",6
"549","Torque teno virus",6
"64","Bovine viral diarrhea virus 1",5
"89","Citrus tristeza virus",5
"190","Grapevine virus A",5
"205","Hepatitis delta virus",5
"207","Hepatovirus A",5
"341","Mumps rubulavirus",5
"404","Potato mop-top virus",5
"437","Rotavirus G9",5
"559","Turnip mosaic virus",5
"74","Canine coronavirus",4
"114","Cucumber mosaic virus",4
"124","Dengue virus 1",4
"125","Dengue virus 2",4
"126","Dengue virus 3",4
"133","Echovirus E13",4
"165","Feline immunodeficiency virus",4
"235","Human immunodeficiency virus 2",4
"255","Human T-cell leukemia virus type I",4
"301","JC polyomavirus",4
"361","Norwalk virus",4
"395","Porcine circovirus 2",4
"487","Soybean mosaic virus",4
"520","Swine hepatitis E virus",4
"526","Tick-borne encephalitis virus",4
"548","Tomato yellow leaf curl virus",4
"587","Zucchini yellow mosaic virus",4
"6","African swine fever virus",3
"27","Avian metapneumovirus",3
"43","Bean yellow mosaic virus",3
"56","Bovine alphaherpesvirus 5",3
"82","Chicken anemia virus",3
"111","Crimean-Congo hemorrhagic fever orthonairovirus",3
"112","Cryphonectria hypovirus 1",3
"117","Cucurbit yellow stunting disorder virus",3
"119","Cyprinid herpesvirus 3",3
"123","Dendrolimus punctatus cypovirus 1",3
"152","Equine infectious anemia virus",3
"176","Gallid alphaherpesvirus 2",3
"208","Hibiscus latent Fort Pierce virus",3
"215","Human alphaherpesvirus 3",3
"232","Human gammaherpesvirus 4",3
"244","Human picobirnavirus",3
"246","Human poliovirus 2",3
"256","Human T-lymphotropic virus 2",3
