"","year","nrow","ncol","nodeNum","edgeNum","no.cluster","meandegree","density","cluster.coefficient","assort","centr_betweenness","centr_closeness","centr_eigenV","centr_degree","node.giant","edge.giant","size.giant","density.giant","diameter.giant","weighted.giant","unweighted.giant","assortativity.giant","centr_betw.giant","centr_clo.giant","centr_eigen.giant","centr_degree.giant","min_teamsize","teamsize_median","teamsize_mean","teamsize_Max"
"1",1992,723,25,12845,11106,1739,0.86,0.000135,0,-17.282929994468,0.101285928654408,4.95083738998115e-05,0.995622836374946,0.252512516882229,4090,4089,31.8411833398209,0.000489,6,3245,3245,-65.8979050543766,0.999440048671491,0.801400473699216,0.986248553709255,0.793103567864406,10,14,14.4047337278107,39
"2",1993,764,31,14574,12648,1926,0.87,0.000119,0,-16.7725901136789,0.103560263162695,4.41211171788087e-05,0.99592872449965,0.247187559617024,4692,4691,32.1943186496501,0.000426,7,3604,3604,-62.4683138517576,0.999523103557351,0.784023812980253,0.987350399447528,0.767853427042733,10,14,14.4047337278107,39
"3",1994,840,30,17063,14768,2295,0.87,0.000101,0,-16.3199581211797,0.100897408938404,3.7207165956122e-05,0.996280261253814,0.24119499490717,5422,5421,31.7763582019574,0.000369,8,4117,4117,-61.2964913274247,0.999557213141144,0.772176086677318,0.988291058533453,0.759085107704773,10,14,14.4047337278107,39
"4",1995,848,29,16854,14618,2236,0.87,0.000103,0,-16.4854688066145,0.106181377928389,3.86444187086682e-05,0.996235414272999,0.243889238569116,5494,5493,32.5976029429216,0.000364,8,4112,4112,-59.8980896452789,0.999558607760447,0.76454035259395,0.988448507161067,0.748225079925995,10,14,14.4047337278107,39
"5",1996,756,41,18238,16159,2079,0.89,9.7e-05,0,-14.2701109787462,0.122719824572777,3.83963814826412e-05,0.996560296197269,0.218962986539712,6393,6392,35.053185656322,0.000313,8,3995,3995,-45.6119875244493,0.998974198219043,0.672566777446753,0.990185191903208,0.624687157828875,10,14,14.4047337278107,39
"6",1997,749,28,19221,16922,2299,0.88,9.2e-05,0,-14.3219232779143,0.103389596885171,3.34365395416008e-05,0.996655292644612,0.218638877082336,6183,6182,32.1679413141876,0.000323,6,4204,4204,-51.6258681910655,0.999403346845826,0.72140717693642,0.98960007593218,0.679715354815201,10,14,14.4047337278107,39
"7",1998,845,39,20917,18593,2324,0.89,8.5e-05,0,-14.1430490182008,0.115146409234882,3.24279797208151e-05,0.996792158787195,0.218264592254648,7101,7100,33.9484629727016,0.000282,9,4567,4567,-47.5378663701765,0.999309062000932,0.693460192827778,0.990549091567007,0.642957786147954,10,14,14.4047337278107,39
"8",1999,909,37,26204,23587,2617,0.9,6.9e-05,0,-12.9320401156448,0.135514913477457,2.80852704815397e-05,0.997216737087936,0.204373535110393,9650,9649,36.8264387116471,0.000207,8,5357,5357,-38.5347322660368,0.999367517615902,0.647922320960205,0.992441225661081,0.554979812131194,10,14,14.4047337278107,39
"9",2000,1019,35,27752,24928,2824,0.9,6.5e-05,0,-13.4146827269565,0.142017991451222,2.71492170774497e-05,0.997252096315641,0.211026756400261,10462,10461,37.6981839146728,0.000191,9,5858,5858,-38.9832396269453,0.999436201552293,0.649406971922506,0.992709911353638,0.559793537058411,10,14,14.4047337278107,39
"10",2001,999,31,27759,24944,2815,0.9,6.5e-05,0,-13.3923421164862,0.149142154659999,2.78184995016284e-05,0.997251727579303,0.210865437607333,10724,10723,38.6325155805324,0.000186,8,5855,5855,-37.6532044073296,0.999411423968346,0.644127983112982,0.99288530147535,0.545836070735575,10,14,14.4047337278107,39
"11",2002,1086,33,31003,28172,2831,0.91,5.9e-05,0,-13.1755161946703,0.174042793808346,2.69094387962968e-05,0.997401940988757,0.209702039464798,12940,12939,41.737896332613,0.000155,10,6503,6503,-33.7218878441411,0.999153257628221,0.622001774970133,0.993774738954432,0.502434512293029,10,14,14.4047337278107,39
"12",2003,1141,45,34819,31993,2826,0.92,5.3e-05,0,-12.3936857776459,0.200221651403104,2.56991472252034e-05,0.997594762676534,0.200992656820245,15586,15585,44.7629167982998,0.000128,8,7000,7000,-29.084329792994,0.999311970353437,0.5910065467115,0.994626338046001,0.449021503260846,10,14,14.4047337278107,39
"13",2004,1263,37,43058,39953,3105,0.93,4.3e-05,0,-11.6928966314922,0.218387749988233,2.17047999759927e-05,0.997877043613528,0.192794301137326,20128,20127,46.7462492452041,9.9e-05,8,8303,8303,-26.096619523192,0.999434135477812,0.584139523248912,0.995458312124816,0.412431067688382,10,14,14.4047337278107,39
"14",2005,1394,68,51349,48283,3066,0.94,3.7e-05,0,-10.8021848857165,0.263303155414516,1.99811681193879e-05,0.998111901356497,0.181080459182435,26365,26364,51.3447194687336,7.6e-05,10,9300,9300,-21.5762922588032,0.998794367322993,0.541793249028864,0.996322565677354,0.352677896975351,10,14,14.4047337278107,39
