"Auth1","Auth2"
"Leary,T.P.","Muerhoff,A.S."
"Leary,T.P.","Simons,J.N."
"Leary,T.P.","Pilot-Matias,T.J."
"Leary,T.P.","Erker,J.C."
"Leary,T.P.","Chalmers,M.L."
"Leary,T.P.","Schlauder,G.G."
"Leary,T.P.","Dawson,G.J."
"Leary,T.P.","Desai,S.M"
"Leary,T.P.",",Mushahwar,I.K."
"Muerhoff,A.S.","Simons,J.N."
"Muerhoff,A.S.","Pilot-Matias,T.J."
"Muerhoff,A.S.","Erker,J.C."
"Muerhoff,A.S.","Chalmers,M.L."
"Muerhoff,A.S.","Schlauder,G.G."
"Muerhoff,A.S.","Dawson,G.J."
"Muerhoff,A.S.","Desai,S.M"
"Muerhoff,A.S.",",Mushahwar,I.K."
"Simons,J.N.","Pilot-Matias,T.J."
"Simons,J.N.","Erker,J.C."
"Simons,J.N.","Chalmers,M.L."
"Simons,J.N.","Schlauder,G.G."
"Simons,J.N.","Dawson,G.J."
"Simons,J.N.","Desai,S.M"
"Simons,J.N.",",Mushahwar,I.K."
"Pilot-Matias,T.J.","Erker,J.C."
"Pilot-Matias,T.J.","Chalmers,M.L."
"Pilot-Matias,T.J.","Schlauder,G.G."
"Pilot-Matias,T.J.","Dawson,G.J."
"Pilot-Matias,T.J.","Desai,S.M"
"Pilot-Matias,T.J.",",Mushahwar,I.K."
"Erker,J.C.","Chalmers,M.L."
"Erker,J.C.","Schlauder,G.G."
"Erker,J.C.","Dawson,G.J."
"Erker,J.C.","Desai,S.M"
"Erker,J.C.",",Mushahwar,I.K."
"Chalmers,M.L.","Schlauder,G.G."
"Chalmers,M.L.","Dawson,G.J."
"Chalmers,M.L.","Desai,S.M"
"Chalmers,M.L.",",Mushahwar,I.K."
"Schlauder,G.G.","Dawson,G.J."
"Schlauder,G.G.","Desai,S.M"
"Schlauder,G.G.",",Mushahwar,I.K."
"Dawson,G.J.","Desai,S.M"
"Dawson,G.J.",",Mushahwar,I.K."
"Desai,S.M",",Mushahwar,I.K."
"Linnen,J.","Wages,J"
"Linnen,J.","Jr."
"Linnen,J.","Zhang-Keck,Z.Y."
"Linnen,J.","Fry,K.E."
"Linnen,J.","Krawczynski,K.Z."
"Linnen,J.","Alter,H."
"Linnen,J.","Koonin,E."
"Linnen,J.","Gallagher,M."
"Linnen,J.","Alter,M."
"Linnen,J.","Hadziyannis,S."
"Linnen,J.","Karayiannis,P."
"Linnen,J.","Fung,K."
"Linnen,J.","Nakatsuji,Y."
"Linnen,J.","Shih,J.W."
"Linnen,J.","Young,L."
"Linnen,J.","Piatak,M"
"Linnen,J.","Jr."
"Linnen,J.","Hoover,C."
