,Var1,Freq
176,Human immunodeficiency virus 1,3275
135,GB virus C,1420
146,Hepacivirus C,706
50,Canine morbillivirus,340
198,Human T-lymphotropic virus 2,277
165,Human betaherpesvirus 5,212
121,Feline immunodeficiency virus,193
177,Human immunodeficiency virus 2,192
147,Hepatitis B virus,164
326,Rotavirus A,159
174,Human gammaherpesvirus 8,154
339,Simian immunodeficiency virus,148
79,Cucumber mosaic virus,122
149,Hepatitis C virus genotype 2,115
4,African swine fever virus,112
261,Mumps rubulavirus,108
381,Tula orthohantavirus,101
356,Suid alphaherpesvirus 1,99
264,Murid gammaherpesvirus 4,92
179,Human papillomavirus,91
338,Simian-Human immunodeficiency virus,91
60,Chicken anemia virus,90
197,Human T-cell leukemia virus type I,89
104,Equine arteritis virus,87
255,Molluscum contagiosum virus,86
99,Enterovirus sp.,78
225,JC polyomavirus,78
102,Equid alphaherpesvirus 1,77
175,Human herpesvirus 8 type M,76
267,Murine leukemia virus,73
39,Bovine alphaherpesvirus 1,72
290,Peanut bud necrosis virus,72
329,Rous sarcoma virus,72
292,Pegivirus A,71
249,Marek's disease virus serotype 2 MDV2,70
262,Murid betaherpesvirus 1,70
17,Avian metapneumovirus,66
125,Foot-and-mouth disease virus,66
152,Hepatitis C virus subtype 3a,66
227,Khabarovsk orthohantavirus,66
318,Respiratory syncytial virus,66
327,Rotavirus C,66
361,Taimyr hantavirus,66
251,Measles morbillivirus,64
389,Variola virus,61
240,Macaca mulatta polyomavirus 1,60
173,Human gammaherpesvirus 4,56
34,Bombyx mori cypovirus 1,55
78,Crimean-Congo hemorrhagic fever orthonairovirus,55
103,Equid alphaherpesvirus 9,55
167,Human betaherpesvirus 6B,55
169,Human calicivirus SRSV/MI1/94/JP,55
273,Norwalk-like virus,55
304,Porcine reproductive and respiratory syndrome virus,54
202,Infectious bronchitis virus,50
195,Human rotavirus C,49
232,Lactococcus phage r1t,49
7,Aleutian mink disease virus,48
188,Human parvovirus B19,48
44,Bovine viral diarrhea virus 1,46
126,Fowl aviadenovirus 1,46
13,Arctic ground squirrel hepatitis B virus,45
21,Barley mild mosaic virus,45
40,Bovine herpesvirus type 1.1,45
219,Influenza C virus (C/Aichi/1/81),45
260,Muleshoe hantavirus,45
335,San Miguel sea lion virus,45
223,Japanese encephalitis virus,44
222,Jaagsiekte sheep retrovirus,43
105,Equine infectious anemia virus,42
124,Feline panleukopenia virus,42
178,Human orthopneumovirus,42
270,Myxoma virus,42
287,Paramecium bursaria Chlorella virus 1,42
315,Rabies lyssavirus,42
112,Escherichia virus N15,40
203,Infectious bursal disease virus,40
132,Gallid alphaherpesvirus 1,39
18,Azuki bean mosaic virus,36
24,Barley yellow mosaic virus,36
41,Bovine leukemia virus,36
85,Dobrava-Belgrade orthohantavirus,36
171,Human endogenous retrovirus,36
189,Human poliovirus 1,36
259,Mouse parvovirus 1b,36
275,Odontoglossum ringspot virus,36
282,Ovine enzootic nasal tumor virus,36
296,Phocid alphaherpesvirus 1,36
89,Echinochloa hoja blanca tenuivirus,35
67,Classical swine fever virus,34
190,Human poliovirus 2,34
274,Norwalk virus,34
306,Porcine rotavirus,34
390,Venezuelan equine encephalitis virus,34
62,Chlorella virus,31
106,Equine rhinitis A virus,31
221,Inkoo virus,31
281,Ovine adenovirus 7,31
286,Papiine gammaherpesvirus 1,31
298,Plum pox virus,31
37,Borna disease virus 1,30
49,Canid alphaherpesvirus 1,30
212,Influenza A virus (A/Fort Monmouth/1/1947-mouse adapted(H1N1)),30
284,Papaya leaf distortion mosaic virus,30
294,Pepper huasteco yellow vein virus-[Sinaloa],30
308,Potato virus A,30
330,Rubella virus,30
341,Simian T-lymphotropic virus 3,30
11,Aotine betaherpesvirus 1,28
52,Caprine alphaherpesvirus 1,28
53,Caprine arthritis encephalitis virus,28
93,Encephalomyocarditis virus,28
94,Endogenous sheep retrovirus,28
107,Equine rotavirus,28
134,Garlic potyvirus 1,28
148,Hepatitis C virus (isolate BEBE1),28
154,Hepatitis E virus,28
183,Human papillomavirus type 18,28
186,Human papillomavirus type 72,28
192,Human rhinovirus sp.,28
204,Influenza A virus (A/Brazil/02/91(H3N2)),28
217,Influenza A virus (A/Sendai/c182/1994(H3N2)),28
254,MLV-like endogenous virus,28
257,Morro Bay virus,28
344,Soil-borne wheat mosaic virus,28
352,Streptomyces phage R4,28
364,Tick-borne encephalitis virus,28
374,Tomato leaf curl virus,28
378,Tomato yellow leaf curl virus,28
380,Trichoplusia ni granulovirus,28
397,Whitewater Arroyo mammarenavirus,28
43,Bovine rotavirus,27
76,Cowpox virus,27
27,Bean yellow mosaic virus,26
268,Muscovy duck parvovirus,25
322,Rice ragged stunt virus,25
401,Yam mosaic virus,25
30,Beet pseudoyellows virus,24
139,Haemophilus virus HP1,24
196,Human spumaretrovirus,24
280,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,24
119,Felid alphaherpesvirus 1,22
163,Human alphaherpesvirus 1,22
1,Abutilon mosaic virus-HW,21
6,Agropyron mosaic virus,21
31,Beet soil-borne virus,21
33,Bluetongue virus,21
56,Carrot mottle mimic virus,21
63,Choristoneura fumiferana DEF multiple nucleopolyhedrovirus,21
70,Cocksfoot mottle virus,21
96,Enterobacteria phage 933W,21
130,Fusarium solani virus 1,21
141,Hantavirus sp.,21
142,Heliothis armigera entomopoxvirus,21
166,Human betaherpesvirus 6A,21
180,Human papillomavirus 5,21
182,Human papillomavirus type 16,21
207,Influenza A virus (A/eq/Arundel/91/(H3N8)),21
208,Influenza A virus (A/equine/Argentina/1/93(H3N8)),21
218,Influenza A virus (A/swine/Hong Kong/168/1993(H1N1)),21
229,Lactococcus phage B1,21
234,Leek white stripe virus,21
242,Macacine gammaherpesvirus 4,21
253,Millet streak virus,21
256,Molluscum contagiosum virus subtype 1,21
359,Sweet potato leaf speckling virus,21
387,Vaccinia virus,21
396,White spot syndrome virus,21
402,Yellow fever virus,21
15,Autographa californica nucleopolyhedrovirus,20
123,Feline leukemia virus,20
194,Human rotavirus A,19
258,Mouse mammary tumor virus,19
77,Coxsackievirus B3,18
283,Ovine lentivirus,18
314,Rabbit hemorrhagic disease virus,18
228,Lactobacillus phage LL-H,17
16,Avian avulavirus 1,16
20,Bacillus virus GA1,16
29,Beet necrotic yellow vein virus,16
51,Canine parvovirus,16
153,Hepatitis delta virus,16
272,Norovirus isolates,16
301,Porcine adenovirus 3,16
316,Rat cytomegalovirus Maastricht,16
340,Simian T-lymphotropic virus 1,16
5,Agaricus bisporus virus 1,15
9,Andes orthohantavirus,15
14,Arthrobacter phage phi AAU2,15
23,Barley yellow dwarf virus PAV,15
32,Beet yellow stunt virus,15
38,Bovine adenovirus 3,15
45,Bovine viral diarrhea virus 1-CP7,15
