"","Var1","Freq"
"456","Human immunodeficiency virus 1",17524
"1087","Zaire ebolavirus",9120
"1090","Zika virus",3275
"253","Dengue virus 1",2746
"411","Hepacivirus C",2547
"880","Rotavirus A",2276
"676","Middle East respiratory syndrome-related coronavirus",2083
"412","Hepatitis B virus",1263
"183","Chikungunya virus",1078
"308","Equine hepacivirus",967
"940","Simian-Human immunodeficiency virus",874
"418","Hepatitis E virus",779
"1071","West Nile virus",742
"492","Infectious bronchitis virus",737
"254","Dengue virus 2",727
"295","Enterovirus A71",726
"847","Rabies lyssavirus",726
"216","Coxsackievirus A16",654
"14","African swine fever virus",632
"44","Avian avulavirus 1",631
"943","Simian immunodeficiency virus",631
"346","Foot-and-mouth disease virus - type O",579
"420","Hepatovirus A",578
"484","Human rotavirus A",574
"798","Porcine epidemic diarrhea virus",560
"465","Human papillomavirus type 16",529
"298","Enterovirus D68",506
"131","Bovine viral diarrhea virus 1",500
"462","Human orthopneumovirus",488
"1053","Usutu virus",487
"252","Dengue virus",477
"497","Influenza A virus",465
"511","Influenza A virus (A/chicken/Ismailia/144CA/2014(H5N1))",465
"806","Porcine reproductive and respiratory syndrome virus",463
"929","Senecavirus A",433
"794","Porcine circovirus 2",404
"620","Lassa mammarenavirus",403
"981","Suid alphaherpesvirus 1",380
"502","Influenza A virus (A/Cambodia/V1012345/2011(H3N2))",351
"475","Human poliovirus 2",337
"452","Human gammaherpesvirus 4",329
"952","Small ruminant morbillivirus",325
"407","Hantaan orthohantavirus",324
"191","Classical swine fever virus",316
"797","Porcine deltacoronavirus",312
"444","Human coronavirus 229E",308
"601","JC polyomavirus",291
"97","Bluetongue virus",289
"430","Human adenovirus 7",277
"224","Crimean-Congo hemorrhagic fever orthonairovirus",276
"408","Hantavirus MAYOV",272
"441","Human bocavirus",272
"332","Feline calicivirus",271
"119","Bovine leukemia virus",266
"808","Porcine rotavirus C",263
"149","Camel alphacoronavirus Camel229E",253
"659","Mamastrovirus sp.",253
"890","Rousettus bat coronavirus HKU9",253
"1042","Tula orthohantavirus",253
"461","Human metapneumovirus",231
"559","Influenza A virus (A/lion/Hubei/1-2/2016(H5N1))",231
"658","Mamastrovirus 3",231
"740","Paenibacillus phage Tripp",231
"776","Picornavirales Tottori-HG1",231
"907","Sapovirus GI.1",231
"908","Sapovirus GIV",231
"1057","Variola virus",231
"453","Human gammaherpesvirus 8",228
"470","Human parechovirus 3",225
"599","Japanese encephalitis virus",220
"439","Human betaherpesvirus 5",215
"20","Alfalfa leaf curl virus",210
"75","Bat herpesvirus",210
"242","Cutavirus",210
"246","Cynomolgus cytomegalovirus",210
"321","Euphorbia caput-medusae latent virus",210
"325","European bat 2 lyssavirus",210
"415","Hepatitis C virus subtype 2b",210
"446","Human coronavirus NL63",210
"563","Influenza A virus (A/Netherlands/3315/2016(H1N1))",210
"608","Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN",210
"693","Mycobacterium phage Cabrinians",210
"934","Sheep polyomavirus 1",210
"479","Human polyomavirus 6",206
"1036","Toscana virus",205
"132","Bovine viral diarrhea virus 2",198
"414","Hepatitis C virus subtype 1b",190
"758","Pegivirus A",190
"844","Quezon virus",190
"1009","Tofla virus",190
"1067","Viral hemorrhagic septicemia virus",189
"392","Grapevine Pinot gris virus",187
"709","Norovirus GII",187
"459","Human mastadenovirus C",184
"334","Feline immunodeficiency virus",182
"365","Gallid alphaherpesvirus 2",182
"795","Porcine circovirus 3",182
"67","Bat betacoronavirus",181
"887","Rotavirus G9",178
"712","Norovirus GII.4",176
"431","Human adenovirus B3",175
"160","Canine parvovirus 2b",174
"735","Orthohepevirus A",174
"932","Severe fever with thrombocytopenia virus",174
"256","Dengue virus 4",173
"142","BtMf-AlphaCoV/AH2011",171
"513","Influenza A virus (A/chicken/Niger/15VIR2060-1/2015(H5N1))",171
"732","Orbivirus SX-2017a",171
"1002","Tilapia lake virus",171
"485","Human rotavirus C",168
"494","Infectious hematopoietic necrosis virus",168
"156","Canine morbillivirus",161
"255","Dengue virus 3",161
"65","Banna virus",157
"303","Epizootic hemorrhagic disease virus",156
