"","Var1","Freq"
"460","Human immunodeficiency virus 1",352
"396","Hepatitis B virus",126
"395","Hepacivirus C",112
"1291","Rabies lyssavirus",68
"517","Infectious bronchitis virus",59
"413","Hepatitis E virus",48
"497","Human rotavirus A",48
"37","Avian avulavirus 1",46
"1259","Porcine reproductive and respiratory syndrome virus",45
"519","Infectious bursal disease virus",44
"235","Cucumber mosaic virus",42
"1044","Measles morbillivirus",41
"414","Hepatovirus A",33
"169","Chikungunya virus",31
"1327","Rotavirus A",29
"189","Classical swine fever virus",28
"256","Dengue virus 3",28
"1250","Porcine circovirus 2",27
"448","Human bocavirus",26
"464","Human metapneumovirus",24
"145","Canine morbillivirus",22
"287","Enterovirus A71",22
"1479","Tick-borne encephalitis virus",22
"1541","Tomato yellow leaf curl virus",21
"1589","West Nile virus",21
"1571","Vaccinia virus",20
"186","Citrus tristeza virus",18
"446","Human betaherpesvirus 5",16
"456","Human gammaherpesvirus 4",16
"43","Avian orthoreovirus",15
"218","Coxsackievirus A24",14
"254","Dengue virus 1",14
"255","Dengue virus 2",14
"461","Human immunodeficiency virus 2",14
"983","Japanese encephalitis virus",14
"1337","Rotavirus G9",14
"52","Banana bunchy top virus",13
"328","Feline immunodeficiency virus",13
"440","Human alphaherpesvirus 3",13
"482","Human parvovirus B19",13
"1201","Papaya ringspot virus",13
"1272","Potato virus Y",13
"1339","Rubella virus",13
"1528","Tomato spotted wilt orthotospovirus",13
"337","Foot-and-mouth disease virus - type Asia 1",12
"452","Human coronavirus NL63",12
"467","Human papillomavirus type 16",12
"487","Human polyomavirus 1",12
"1397","Simian immunodeficiency virus",12
"22","Anatid alphaherpesvirus 1",11
"32","Argentinian mammarenavirus",11
"97","Bluetongue virus",11
"165","Chicken anemia virus",11
"226","Crimean-Congo hemorrhagic fever orthonairovirus",11
"273","Echovirus E30",11
"352","Gallid alphaherpesvirus 1",11
"507","Human T-cell leukemia virus type I",11
"1249","Porcine circovirus 1",11
"288","Enterovirus B",10
"374","Grapevine virus A",10
"438","Human alphaherpesvirus 1",10
"457","Human gammaherpesvirus 8",10
"1032","Mammalian orthoreovirus",10
"1456","Sugarcane mosaic virus",10
"27","Apple chlorotic leaf spot virus",9
"123","Bovine rotavirus A",9
"125","Bovine viral diarrhea virus 1",9
"173","Chilli veinal mottle virus",9
"300","Equid alphaherpesvirus 1",9
"339","Foot-and-mouth disease virus - type O",9
"404","Hepatitis C virus subtype 1b",9
"1257","Porcine parvovirus",9
"1319","Rice gall dwarf virus",9
"112","Bovine coronavirus",8
"143","Canine coronavirus",8
"241","Cucurbit aphid-borne yellows virus",8
"1060","Mumps rubulavirus",8
"1246","Plum pox virus",8
"1256","Porcine epidemic diarrhea virus",8
"1278","Prunus necrotic ringspot virus",8
"1287","Puumala orthohantavirus",8
"1347","Salmon isavirus",8
"1459","Suid alphaherpesvirus 1",8
"1555","Tula orthohantavirus",8
"1616","Zucchini yellow mosaic virus",8
"9","African horse sickness virus",7
"147","Canine parvovirus",7
"234","Cucumber green mottle mosaic virus",7
"263","Duck hepatitis A virus 1",7
"336","Foot-and-mouth disease virus - type A",7
"365","Grapevine fanleaf virus",7
"373","Grapevine rupestris stem pitting-associated virus",7
"520","Infectious hematopoietic necrosis virus",7
"1013","Lymphocytic choriomeningitis mammarenavirus",7
"1065","Murid betaherpesvirus 1",7
"1261","Porcine rotavirus A",7
"1331","Rotavirus G1",7
"1345","Saint Louis encephalitis virus",7
"1561","Turnip mosaic virus",7
"1584","Viral hemorrhagic septicemia virus",7
"1595","Wheat streak mosaic virus",7
"10","African swine fever virus",6
"72","Bean common mosaic virus",6
"82","Beet necrotic yellow vein virus",6
"151","Capsicum chlorosis virus",6
"153","Carp sprivivirus",6
"187","Citrus yellow mosaic virus",6
"209","Cowpox virus",6
"246","Cymbidium mosaic virus",6
"435","Human adenovirus B3",6
"463","Human mastadenovirus B",6
"514","Indian cassava mosaic virus",6
"1468","Swine hepatitis E virus",6
"1488","Tobacco mosaic virus",6
"1510","Tomato leaf curl New Delhi virus",6
"39","Avian leukosis virus",5
"41","Avian metapneumovirus",5
"75","Bean yellow mosaic virus",5
"107","Borna disease virus 1",5
"127","Bovine viral diarrhea virus 2",5
"181","Chrysanthemum virus B",5
"284","Enterobacteria phage MV SS",5
"335","Foot-and-mouth disease virus",5
"353","Gallid alphaherpesvirus 2",5
"362","Goose parvovirus",5
"392","Heliothis armigera cypovirus 14",5
"403","Hepatitis C virus subtype 1a",5
"451","Human coronavirus HKU1",5
"607","Influenza A virus (A/chicken/Nigeria/641/2006(H5N1))",5
"1012","Lymphocystis disease virus 1",5
"1194","Ovine gammaherpesvirus 2",5
"1284","Pseudomonas virus phi6",5
"1378","Seoul orthohantavirus",5
"1384","Shrimp white spot syndrome virus",5
"1408","Small ruminant lentivirus",5
"1433","Sri Lankan cassava mosaic virus",5
"1482","Tobacco etch virus",5
"1494","Tomato aspermy virus",5
"1544","Tomato yellow ring virus",5
"1547","Toscana virus",5
"1549","Transmissible gastroenteritis virus",5
"16","Akabane virus",4
"24","Antheraea pernyi nucleopolyhedrovirus",4
"105","Border disease virus",4
"118","Bovine leukemia virus",4
"122","Bovine rotavirus",4
"124","Bovine torovirus",4
"132","Buffalopox virus",4
"150","Caprine arthritis encephalitis virus",4
"184","Citrus psorosis virus",4
"195","Columbid circovirus",4
"213","Coxsackievirus A16",4
"238","Cucumber mosaic virus satellite RNA",4
"253","Dengue virus",4
"303","Equine arteritis virus",4
