,number subs,ncol,nodeNum,edgeNum,no.cluster,meandegree,density,cluster.coefficient,assort,centr_betweenness,centr_closeness,centr_eigenV,centr_degree,node.giant,edge.giant,size.giant,density.giant,diameter.giant,weighted.giant,unweighted.giant,assortativity.giant,centr_betw.giant,centr_clo.giant,centr_eigen.giant,centr_degree.giant,min_teamsize,teamsize_median,teamsize_mean,teamsize_Max,,OverallSub_meandegree,OverallSub_assortativity
1992,247,17,130,93,37,0.72,0.011091,0,-44.42205993,0.003299456,0.000603978,0.985715413,0.05092427,9,8,6.923076923,0.222222,2,8,8,-100,1,1,0.738796125,0.777777778,9,9,9.149797571,17,,2.26,15.01989155
1993,511,18,750,559,191,0.75,0.00199,0,-45.30427116,0.000320965,3.68E-05,0.996334683,0.01670138,15,14,2,0.133333,2,14,14,-100,1,1,0.789103278,0.866666667,9,9,9.395303327,18,,2.17,-26.51792259
1994,651,19,252,194,58,0.77,0.006134,0,-54.67022973,0.001389057,0.000176886,0.991350889,0.033706444,11,10,4.365079365,0.181818,2,10,10,-100,1,1,0.759746927,0.818181818,9,9,9.098310292,19,,2.42,-9.827462991
1995,911,18,2000,1585,415,0.79,0.000793,0,-37.64379316,0.000161583,9.89E-06,0.997948439,0.012213607,27,26,1.35,0.074074,2,26,26,-100,1,1,0.836039219,0.925925926,9,9,9.639956092,18,,2.25,2.972610643
1996,1057,23,5504,4428,1076,0.8,0.000292,0,-24.43529223,0.000101495,3.13E-06,0.998821644,0.009883879,57,56,1.035610465,0.035088,2,56,56,-100,1,1,0.88212155,0.964912281,9,9,10.41248817,23,,2.37,15.20185596
1997,1197,28,10204,8314,1890,0.81,0.00016,0,-30.64262581,2.54E-05,8.46E-07,0.999391188,0.004936827,53,52,0.519404155,0.037736,2,52,52,-100,1,1,0.878213675,0.962264151,9,10,11.1336675,28,,2.73,46.08965801
1998,1404,27,11801,9675,2126,0.82,0.000139,0,-25.22410268,5.00E-05,1.08E-06,0.999307979,0.006979687,85,84,0.720277943,0.023529,2,84,84,-100,1,1,0.901624682,0.976470588,9,10,11.16025641,27,,2.74,63.92004526
1999,1735,36,17104,14231,2873,0.83,9.70E-05,0,-28.32907311,1.84E-05,4.33E-07,0.999555472,0.00422943,75,74,0.43849392,0.026667,2,74,74,-100,1,1,0.895858558,0.973333333,9,11,11.4259366,36,,2.92,55.51866126
2000,1995,34,18183,15073,3110,0.83,9.10E-05,0,-24.80181098,2.11E-05,4.44E-07,0.999550896,0.004528769,85,84,0.467469614,0.023529,2,84,84,-100,1,1,0.901624682,0.976470588,8,11,11.37944862,34,,3.41,54.30253707
2001,2247,32,21375,17766,3609,0.83,7.80E-05,0,-28.84829404,1.21E-05,2.84E-07,0.999641592,0.003431163,76,75,0.355555556,0.026316,2,75,75,-100,1,1,0.896483054,0.973684211,9,11,11.54650645,32,,3.98,72.52712675
2002,2350,28,22627,18938,3689,0.84,7.40E-05,0,-28.14466472,1.11E-05,2.53E-07,0.999658882,0.003284985,77,76,0.34030141,0.025974,2,76,76,-100,1,1,0.897096028,0.974025974,9,11,11.56680851,28,,4.13,76.12055376
2003,2946,68,40684,35846,4838,0.88,4.30E-05,0,-23.40182182,2.45E-05,2.11E-07,0.999675221,0.004921904,203,202,0.498967653,0.009852,2,202,202,-100,1,1,0.934265321,0.990147783,8,11,12.03122878,68,,4.06,63.98027803
2004,3516,36,44774,39322,5452,0.88,3.90E-05,0,-20.33045319,2.34E-05,1.94E-07,0.999693315,0.004807441,218,217,0.486889713,0.009174,2,217,217,-100,1,1,0.936430927,0.990825688,8,11,12.10011377,36,,4.07,65.2713102
2005,3665,40,44590,38472,6118,0.86,3.90E-05,0,-23.88681243,1.48E-05,1.58E-07,0.999728293,0.003818754,173,172,0.387979368,0.011561,2,172,172,-100,1,1,0.929152766,0.988439306,8,11,12.01828104,40,,3.77,61.9823177
