"","Auth1","Auth2"
"1","Okamoto,Y.","Shiosaki,K."
"2","Okamoto,Y.","Eda,Y."
"3","Okamoto,Y.","Tokiyoshi,S."
"4","Okamoto,Y.","Yamaguchi,Y."
"5","Okamoto,Y.","Gojohbori,T."
"6","Okamoto,Y.","Hachimori,T."
"7","Okamoto,Y.","Yamazaki,S."
"8","Okamoto,Y.","Honda,M."
"9","Shiosaki,K.","Eda,Y."
"10","Shiosaki,K.","Tokiyoshi,S."
"11","Shiosaki,K.","Yamaguchi,Y."
"12","Shiosaki,K.","Gojohbori,T."
"13","Shiosaki,K.","Hachimori,T."
"14","Shiosaki,K.","Yamazaki,S."
"15","Shiosaki,K.","Honda,M."
"16","Eda,Y.","Tokiyoshi,S."
"17","Eda,Y.","Yamaguchi,Y."
"18","Eda,Y.","Gojohbori,T."
"19","Eda,Y.","Hachimori,T."
"20","Eda,Y.","Yamazaki,S."
"21","Eda,Y.","Honda,M."
"22","Tokiyoshi,S.","Yamaguchi,Y."
"23","Tokiyoshi,S.","Gojohbori,T."
"24","Tokiyoshi,S.","Hachimori,T."
"25","Tokiyoshi,S.","Yamazaki,S."
"26","Tokiyoshi,S.","Honda,M."
"27","Yamaguchi,Y.","Gojohbori,T."
"28","Yamaguchi,Y.","Hachimori,T."
"29","Yamaguchi,Y.","Yamazaki,S."
"30","Yamaguchi,Y.","Honda,M."
"31","Gojohbori,T.","Hachimori,T."
"32","Gojohbori,T.","Yamazaki,S."
"33","Gojohbori,T.","Honda,M."
"34","Hachimori,T.","Yamazaki,S."
"35","Hachimori,T.","Honda,M."
"36","Yamazaki,S.","Honda,M."
"37","Takahashi,K.","Hijikata,M."
"38","Takahashi,K.","Aoyama,K."
"39","Takahashi,K.","Hosino,H."
"40","Takahashi,K.","HIno,K."
"41","Takahashi,K.","Mishiro,S."
"42","Hijikata,M.","Aoyama,K."
"43","Hijikata,M.","Hosino,H."
"44","Hijikata,M.","HIno,K."
"45","Hijikata,M.","Mishiro,S."
"46","Aoyama,K.","Hosino,H."
"47","Aoyama,K.","HIno,K."
"48","Aoyama,K.","Mishiro,S."
"49","Hosino,H.","HIno,K."
"50","Hosino,H.","Mishiro,S."
"51","HIno,K.","Mishiro,S."
"52","Upton,C.","Buller,M.L."
"53","Li,X.","Pang,A."
"54","Li,X.","Lauzon,H."
"55","Li,X.","Arif,B.M."
"56","Pang,A.","Lauzon,H."
"57","Pang,A.","Arif,B.M."
"58","Lauzon,H.","Arif,B.M."
"59","Kropinski,A.M.","Sharp,R.W."
"60","Beuken,E.","Slobbe,R."
"61","Beuken,E.","Bruggeman,C.A."
"62","Beuken,E.","Vink,C."
"63","Slobbe,R.","Bruggeman,C.A."
"64","Slobbe,R.","Vink,C."
"65","Bruggeman,C.A.","Vink,C."
"66","Balasuriya,U.B.R.","Hedges,J.F."
"67","Balasuriya,U.B.R.","Patton,J.F."
"68","Balasuriya,U.B.R.","Timoney,P.J."
"69","Balasuriya,U.B.R.","McCollum,W.H."
"70","Balasuriya,U.B.R.","Hullinger,P.J."
"71","Balasuriya,U.B.R.","MacLachlan,N.J."
"72","Hedges,J.F.","Patton,J.F."
"73","Hedges,J.F.","Timoney,P.J."
"74","Hedges,J.F.","McCollum,W.H."
"75","Hedges,J.F.","Hullinger,P.J."
"76","Hedges,J.F.","MacLachlan,N.J."
"77","Patton,J.F.","Timoney,P.J."
"78","Patton,J.F.","McCollum,W.H."
"79","Patton,J.F.","Hullinger,P.J."
"80","Patton,J.F.","MacLachlan,N.J."
"81","Timoney,P.J.","McCollum,W.H."
"82","Timoney,P.J.","Hullinger,P.J."
"83","Timoney,P.J.","MacLachlan,N.J."
"84","McCollum,W.H.","Hullinger,P.J."
"85","McCollum,W.H.","MacLachlan,N.J."
"86","Hullinger,P.J.","MacLachlan,N.J."
"87","Wang,F.","Franken,M."
"88","Wang,F.","Annis,B."
"89","Franken,M.","Annis,B."
"90","Van Cuyck-Gandre,H.","Caudill,J."
"91","Van Cuyck-Gandre,H.","Clements,N.J."
"92","Van Cuyck-Gandre,H.","Zhang,H.Y."
"93","Van Cuyck-Gandre,H.","Buisson,Y."
"94","Van Cuyck-Gandre,H.","Cohen,S.J."
"95","Van Cuyck-Gandre,H.","Warren,R.L."
"96","Van Cuyck-Gandre,H.","Longer,C."
"97","Caudill,J.","Clements,N.J."
"98","Caudill,J.","Zhang,H.Y."
"99","Caudill,J.","Buisson,Y."
"100","Caudill,J.","Cohen,S.J."
"101","Caudill,J.","Warren,R.L."
"102","Caudill,J.","Longer,C."
"103","Clements,N.J.","Zhang,H.Y."
"104","Clements,N.J.","Buisson,Y."
"105","Clements,N.J.","Cohen,S.J."
"106","Clements,N.J.","Warren,R.L."
"107","Clements,N.J.","Longer,C."
"108","Zhang,H.Y.","Buisson,Y."
"109","Zhang,H.Y.","Cohen,S.J."
"110","Zhang,H.Y.","Warren,R.L."
"111","Zhang,H.Y.","Longer,C."
"112","Buisson,Y.","Cohen,S.J."
"113","Buisson,Y.","Warren,R.L."
"114","Buisson,Y.","Longer,C."
"115","Cohen,S.J.","Warren,R.L."
"116","Cohen,S.J.","Longer,C."
"117","Warren,R.L.","Longer,C."
"118","Miura,T.","Yamashita,M."
"119","Miura,T.","Takehisa,J."
"120","Miura,T.","Igarashi,T."
"121","Miura,T.","Ido,E."
"122","Miura,T.","Zaninovic,V."
"123","Miura,T.","Cartier,L."
"124","Miura,T.","Fujiyoshi,T."
"125","Miura,T.","Sonoda,S."
"126","Miura,T.","Tajima,K."
"127","Miura,T.","Hayami,M."
"128","Yamashita,M.","Takehisa,J."
"129","Yamashita,M.","Igarashi,T."
"130","Yamashita,M.","Ido,E."
"131","Yamashita,M.","Zaninovic,V."
"132","Yamashita,M.","Cartier,L."
"133","Yamashita,M.","Fujiyoshi,T."
"134","Yamashita,M.","Sonoda,S."
"135","Yamashita,M.","Tajima,K."
"136","Yamashita,M.","Hayami,M."
"137","Takehisa,J.","Igarashi,T."
"138","Takehisa,J.","Ido,E."
"139","Takehisa,J.","Zaninovic,V."
"140","Takehisa,J.","Cartier,L."
