Auth1,Auth2
"Okamoto,Y.","Shiosaki,K."
"Okamoto,Y.","Eda,Y."
"Okamoto,Y.","Tokiyoshi,S."
"Okamoto,Y.","Yamaguchi,Y."
"Okamoto,Y.","Gojohbori,T."
"Okamoto,Y.","Hachimori,T."
"Okamoto,Y.","Yamazaki,S."
"Okamoto,Y.","Honda,M."
"Shiosaki,K.","Eda,Y."
"Shiosaki,K.","Tokiyoshi,S."
"Shiosaki,K.","Yamaguchi,Y."
"Shiosaki,K.","Gojohbori,T."
"Shiosaki,K.","Hachimori,T."
"Shiosaki,K.","Yamazaki,S."
"Shiosaki,K.","Honda,M."
"Eda,Y.","Tokiyoshi,S."
"Eda,Y.","Yamaguchi,Y."
"Eda,Y.","Gojohbori,T."
"Eda,Y.","Hachimori,T."
"Eda,Y.","Yamazaki,S."
"Eda,Y.","Honda,M."
"Tokiyoshi,S.","Yamaguchi,Y."
"Tokiyoshi,S.","Gojohbori,T."
"Tokiyoshi,S.","Hachimori,T."
"Tokiyoshi,S.","Yamazaki,S."
"Tokiyoshi,S.","Honda,M."
"Yamaguchi,Y.","Gojohbori,T."
"Yamaguchi,Y.","Hachimori,T."
"Yamaguchi,Y.","Yamazaki,S."
"Yamaguchi,Y.","Honda,M."
"Gojohbori,T.","Hachimori,T."
"Gojohbori,T.","Yamazaki,S."
"Gojohbori,T.","Honda,M."
"Hachimori,T.","Yamazaki,S."
"Hachimori,T.","Honda,M."
"Yamazaki,S.","Honda,M."
"Takahashi,K.","Hijikata,M."
"Takahashi,K.","Aoyama,K."
"Takahashi,K.","Hosino,H."
"Takahashi,K.","HIno,K."
"Takahashi,K.","Mishiro,S."
"Hijikata,M.","Aoyama,K."
"Hijikata,M.","Hosino,H."
"Hijikata,M.","HIno,K."
"Hijikata,M.","Mishiro,S."
"Aoyama,K.","Hosino,H."
"Aoyama,K.","HIno,K."
"Aoyama,K.","Mishiro,S."
"Hosino,H.","HIno,K."
"Hosino,H.","Mishiro,S."
"HIno,K.","Mishiro,S."
"Upton,C.","Buller,M.L."
"Li,X.","Pang,A."
"Li,X.","Lauzon,H."
"Li,X.","Arif,B.M."
"Pang,A.","Lauzon,H."
"Pang,A.","Arif,B.M."
