,Var1,Freq
21,Human rotavirus A,66
29,Influenza B virus (B/Kanagawa/73),45
28,Influenza B virus (B/Beijing/1/1987),30
12,Feline immunodeficiency virus,28
23,Influenza A virus (A/herring gull/Delaware/471/1986(mixed)),28
32,Lelystad virus,28
15,Hepatitis B virus,26
42,Salmonella virus PRD1,21
34,Murine leukemia virus,16
10,Equine adenovirus 1,15
13,Fowl aviadenovirus 1,15
18,Human papillomavirus type 16,15
25,Influenza A virus (A/swine/Nebraska/1/1992(H1N1)),15
30,Influenza B virus (B/Lee/1940),15
46,Tick-borne encephalitis virus,15
17,Human immunodeficiency virus 1,12
31,Influenza B virus (B/Singapore/222/79),12
43,Simian rotavirus A/SA11,12
6,Corynebacterium phage BFK20,10
8,Dengue virus 2,10
14,Gallid alphaherpesvirus 1,10
33,Mesocricetus auratus polyomavirus 1,10
35,Mycobacterium virus L5,10
39,Pseudomonas virus D3,10
44,Streptococcus phage CP-7,10
3,Avian rotavirus PO-13,6
5,Coconut foliar decay virus,6
19,Human papillomavirus type 6,6
36,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,6
38,Paramecium bursaria Chlorella virus 1,6
41,Rotavirus B37,6
47,Vesicular stomatitis Indiana virus,4
1,African green monkey polyomavirus,3
2,Avian myeloblastosis-associated virus,3
4,Cercopithecine alphaherpesvirus 2,3
11,Escherichia virus N4,3
20,Human respirovirus 1,3
22,Influenza A virus (A/duck/WI/1938/80 (H1N1)),3
27,Influenza A virus (A/WSN/1933(H1N1)),3
40,Rabies lyssavirus,3
45,Sugarcane bacilliform MO virus,3
9,Enterobacteria phage T7,2
26,Influenza A virus (A/USSR/90/1977(H1N1)),2
7,Cucumber mosaic virus satellite RNA,1
16,Human betaherpesvirus 5,1
24,Influenza A virus (A/seal/Mass/1/1980(H7N7)),1
37,Ovine respiratory syncytial virus,1
,Dengue virus 1,0
,Dengue virus 3,0
,West Nile virus,0
