"","Var1","Freq"
"104","Bacillus phage HonestAbe",9591
"1402","Streptomyces phage FlowerPower",9591
"1407","Streptomyces phage HotFries",9591
"1418","Streptomyces phage Moozy",9591
"1423","Streptomyces phage Rainydai",9591
"1425","Streptomyces phage RavenPuff",9591
"1429","Streptomyces phage SendItCS",9591
"577","Influenza A virus",5133
"915","Mycobacterium phage InigoMontoya",4278
"1529","Yellow fever virus",4224
"538","Human immunodeficiency virus 1",4143
"1031","Mycobacterium phage Phreak",3828
"1084","Mycobacterium phage Simpliphy",3741
"1049","Mycobacterium phage RagingRooster",1891
"1114","Mycobacterium phage VasuNzinga",1711
"74","Arthrobacter phage Tenno",1596
"817","Mycobacterium phage BreSam8",1596
"945","Mycobacterium phage LifeSavor",1596
"951","Mycobacterium phage LugYA",1540
"1098","Mycobacterium phage Tarynearal",1431
"1130","Mycobacterium virus Crimd",1431
"452","Gordonia phage KimmyK",1326
"879","Mycobacterium phage FrenchFry",1128
"894","Mycobacterium phage Grand2040",1128
"791","Mycobacterium phage Ariel",1081
"916","Mycobacterium phage InterFolia",1035
"1118","Mycobacterium phage Waterdiva",1035
"504","Hepatitis B virus",1003
"73","Arthrobacter phage Tatanka",946
"543","Human papillomavirus",937
"1538","Zika virus",916
"870","Mycobacterium phage EricMillard",903
"1011","Mycobacterium phage Paito",903
"1093","Mycobacterium phage SweetiePie",903
"985","Mycobacterium phage Naca",780
"868","Mycobacterium phage Emmina",741
"1080","Mycobacterium phage Shauna1",741
"473","Gordonia phage Skysand",703
"790","Mycobacterium phage ArcusAngelus",703
"602","Influenza B virus",642
"893","Mycobacterium phage Gorge",630
"1293","Rhodococcus phage Finch",630
"1400","Streptomyces phage Darolandstone",595
"1405","Streptomyces phage Hank144",595
"503","Hepacivirus C",585
"1070","Mycobacterium phage SamScheppers",561
"1139","Norovirus GII",546
"508","Hepatitis delta virus",542
"1535","Zaire ebolavirus",542
"696","Microbacterium phage ColaCorta",528
"1027","Mycobacterium phage Phleuron",528
"544","Human papillomavirus type 16",527
"430","Gordonia phage Catfish",496
"884","Mycobacterium phage Galactic",496
