"","Auth","tax_id"
"1","Okamoto,Y.",11676
"2","Okamoto,Y.",11676
"3","Okamoto,Y.",11676
"4","Okamoto,Y.",11676
"5","Okamoto,Y.",11676
"6","Okamoto,Y.",11676
"7","Okamoto,Y.",11676
"8","Okamoto,Y.",11676
"9","Shiosaki,K.",11676
"10","Shiosaki,K.",11676
"11","Shiosaki,K.",11676
"12","Shiosaki,K.",11676
"13","Shiosaki,K.",11676
"14","Shiosaki,K.",11676
"15","Shiosaki,K.",11676
"16","Eda,Y.",11676
"17","Eda,Y.",11676
"18","Eda,Y.",11676
"19","Eda,Y.",11676
"20","Eda,Y.",11676
"21","Eda,Y.",11676
"22","Tokiyoshi,S.",11676
"23","Tokiyoshi,S.",11676
"24","Tokiyoshi,S.",11676
"25","Tokiyoshi,S.",11676
"26","Tokiyoshi,S.",11676
"27","Yamaguchi,Y.",11676
"28","Yamaguchi,Y.",11676
"29","Yamaguchi,Y.",11676
"30","Yamaguchi,Y.",11676
"31","Gojohbori,T.",11676
"32","Gojohbori,T.",11676
"33","Gojohbori,T.",11676
"34","Hachimori,T.",11676
"35","Hachimori,T.",11676
"36","Yamazaki,S.",11676
"37","Takahashi,K.",54290
"38","Takahashi,K.",54290
"39","Takahashi,K.",54290
"40","Takahashi,K.",54290
"41","Takahashi,K.",54290
"42","Hijikata,M.",54290
"43","Hijikata,M.",54290
"44","Hijikata,M.",54290
"45","Hijikata,M.",54290
"46","Aoyama,K.",54290
"47","Aoyama,K.",54290
"48","Aoyama,K.",54290
"49","Hosino,H.",54290
"50","Hosino,H.",54290
"51","HIno,K.",54290
"52","Upton,C.",12643
"53","Li,X.",208973
"54","Li,X.",208973
"55","Li,X.",208973
"56","Pang,A.",208973
"57","Pang,A.",208973
"58","Lauzon,H.",208973
"59","Kropinski,A.M.",31535
"60","Beuken,E.",79700
"61","Beuken,E.",79700
"62","Beuken,E.",79700
"63","Slobbe,R.",79700
"64","Slobbe,R.",79700
"65","Bruggeman,C.A.",79700
"66","Balasuriya,U.B.R.",11047
"67","Balasuriya,U.B.R.",11047
"68","Balasuriya,U.B.R.",11047
"69","Balasuriya,U.B.R.",11047
"70","Balasuriya,U.B.R.",11047
"71","Balasuriya,U.B.R.",11047
"72","Hedges,J.F.",11047
"73","Hedges,J.F.",11047
"74","Hedges,J.F.",11047
"75","Hedges,J.F.",11047
"76","Hedges,J.F.",11047
"77","Patton,J.F.",11047
"78","Patton,J.F.",11047
"79","Patton,J.F.",11047
"80","Patton,J.F.",11047
"81","Timoney,P.J.",11047
"82","Timoney,P.J.",11047
"83","Timoney,P.J.",11047
"84","McCollum,W.H.",11047
"85","McCollum,W.H.",11047
"86","Hullinger,P.J.",11047
"87","Wang,F.",45455
"88","Wang,F.",45455
"89","Franken,M.",45455
"90","Van Cuyck-Gandre,H.",12461
"91","Van Cuyck-Gandre,H.",12461
"92","Van Cuyck-Gandre,H.",12461
"93","Van Cuyck-Gandre,H.",12461
"94","Van Cuyck-Gandre,H.",12461
"95","Van Cuyck-Gandre,H.",12461
"96","Van Cuyck-Gandre,H.",12461
"97","Caudill,J.",12461
"98","Caudill,J.",12461
"99","Caudill,J.",12461
"100","Caudill,J.",12461
"101","Caudill,J.",12461
"102","Caudill,J.",12461
"103","Clements,N.J.",12461
"104","Clements,N.J.",12461
"105","Clements,N.J.",12461
"106","Clements,N.J.",12461
"107","Clements,N.J.",12461
"108","Zhang,H.Y.",12461
"109","Zhang,H.Y.",12461
"110","Zhang,H.Y.",12461
"111","Zhang,H.Y.",12461
"112","Buisson,Y.",12461
"113","Buisson,Y.",12461
"114","Buisson,Y.",12461
"115","Cohen,S.J.",12461
"116","Cohen,S.J.",12461
"117","Warren,R.L.",12461
"118","Miura,T.",11908
"119","Miura,T.",11908
"120","Miura,T.",11908
"121","Miura,T.",11908
"122","Miura,T.",11908
"123","Miura,T.",11908
"124","Miura,T.",11908
"125","Miura,T.",11908
"126","Miura,T.",11908
"127","Miura,T.",11908
"128","Yamashita,M.",11908
"129","Yamashita,M.",11908
"130","Yamashita,M.",11908
"131","Yamashita,M.",11908
"132","Yamashita,M.",11908
"133","Yamashita,M.",11908
"134","Yamashita,M.",11908
"135","Yamashita,M.",11908
"136","Yamashita,M.",11908
"137","Takehisa,J.",11908
"138","Takehisa,J.",11908
"139","Takehisa,J.",11908
"140","Takehisa,J.",11908
"141","Takehisa,J.",11908
"142","Takehisa,J.",11908
"143","Takehisa,J.",11908
"144","Takehisa,J.",11908
"145","Igarashi,T.",11908
"146","Igarashi,T.",11908
"147","Igarashi,T.",11908
"148","Igarashi,T.",11908
"149","Igarashi,T.",11908
"150","Igarashi,T.",11908
"151","Igarashi,T.",11908
"152","Ido,E.",11908
"153","Ido,E.",11908
"154","Ido,E.",11908
"155","Ido,E.",11908
"156","Ido,E.",11908
"157","Ido,E.",11908
"158","Zaninovic,V.",11908
"159","Zaninovic,V.",11908
"160","Zaninovic,V.",11908
"161","Zaninovic,V.",11908
"162","Zaninovic,V.",11908
"163","Cartier,L.",11908
"164","Cartier,L.",11908
"165","Cartier,L.",11908
"166","Cartier,L.",11908
"167","Fujiyoshi,T.",11908
"168","Fujiyoshi,T.",11908
"169","Fujiyoshi,T.",11908
"170","Sonoda,S.",11908
"171","Sonoda,S.",11908
"172","Tajima,K.",11908
"173","Minamoto,N.",10970
"174","Minamoto,N.",10970
"175","Sugiyama,M.",10970
"176","Minamoto,N.",195700
"177","Minamoto,N.",195700
"178","Minamoto,N.",195700
"179","Sugiyama,M.",195700
"180","Sugiyama,M.",195700
"181","Ito,N.",195700
"182","Chayama,K.",54290
"183","Chayama,K.",54290
"184","Tsubota,A.",54290
"185","Kashiwazaki,S.",12466
"186","Kashiwazaki,S.",12466
"187","Kashiwazaki,S.",12466
"188","Lee,K.",12466
"189","Lee,K.",12466
"190","Hibi,T.",12466
"191","Nagano,H.",12305
"192","Okamoto,H.",356421
"193","Okamoto,H.",356421
"194","Okamoto,H.",356421
"195","Okamoto,H.",356421
"196","Okamoto,H.",356421
"197","Okamoto,H.",356421
"198","Tokita,H.",356421
"199","Tokita,H.",356421
"200","Tokita,H.",356421
"201","Tokita,H.",356421
"202","Tokita,H.",356421
"203","Iizuka,H.",356421
"204","Iizuka,H.",356421
"205","Iizuka,H.",356421
"206","Iizuka,H.",356421
"207","Kishimoto,J.",356421
"208","Kishimoto,J.",356421
"209","Kishimoto,J.",356421
"210","Tsuda,F.",356421
"211","Tsuda,F.",356421
"212","Miyakawa,Y.",356421
"213","Fang,R.-X.",12305
"214","Fang,R.-X.",12305
"215","Fang,R.-X.",12305
"216","Cheng,N.",12305
"217","Cheng,N.",12305
"218","Pu,Z.",12305
"219","Kubo,K.",12455
"220","Kubo,K.",12455
"221","Kubo,K.",12455
"222","Kubo,K.",12455
"223","Kubo,K.",12455
"224","Kubo,K.",12455
"225","Fujiyoshi,T.",12455
"226","Fujiyoshi,T.",12455
"227","Fujiyoshi,T.",12455
"228","Fujiyoshi,T.",12455
"229","Fujiyoshi,T.",12455
"230","Kamei,K.",12455
"231","Kamei,K.",12455
"232","Kamei,K.",12455
"233","Kamei,K.",12455
"234","Richt,J.A.",12455
"235","Richt,J.A.",12455
"236","Richt,J.A.",12455
"237","Kitze,B.",12455
"238","Kitze,B.",12455
"239","Takigawa,M",12455
"240","Iwai,H.",341167
"241","Iwai,H.",341167
"242","Iwai,H.",341167
"243","Yamashita,Y.",341167
"244","Yamashita,Y.",341167
"245","Nishi,N.",341167
"246","Ma,S.",11072
"247","Ma,S.",11072
"248","Ma,S.",11072
"249","Arakaki,S.",11072
"250","Arakaki,S.",11072
"251","Makino,Y.",11072
"252","Hata,A.",10372
"253","Hata,A.",10372
"254","Hata,A.",10372
"255","Mukai,T.",10372
"256","Mukai,T.",10372
"257","Isegawa,Y.",10372
"258","Takase-Yoden,S.",11795
"259","Asahi,Y.",165249
"260","Asahi,Y.",165249
"261","Asahi,Y.",165249
"262","Asahi,Y.",165249
"263","Asahi,Y.",165249
"264","Sugawara,K.",165249
"265","Sugawara,K.",165249
"266","Sugawara,K.",165249
"267","Sugawara,K.",165249
"268","Muraki,Y.",165249
"269","Muraki,Y.",165249
"270","Muraki,Y.",165249
"271","Hongo,S.",165249
"272","Hongo,S.",165249
"273","Kitame,F.",165249
"274","Kirisawa,R.",10326
"275","Kirisawa,R.",10326
"276","Kirisawa,R.",10326
"277","Kobayashi,T.",10326
"278","Kobayashi,T.",10326
"279","Kawakami,Y.",10326
"280","Kirisawa,R.",10326
"281","Kirisawa,R.",10326
"282","Kirisawa,R.",10326
"283","Kobayashi,T.",10326
"284","Kobayashi,T.",10326
"285","Kawakami,Y.",10326
"286","Kirisawa,R.",10326
"287","Kirisawa,R.",10326
"288","Kirisawa,R.",10326
"289","Kobayashi,T.",10326
"290","Kobayashi,T.",10326
"291","Kawakami,Y.",10326
"292","Liu,Y.-L.",185793
"293","Liu,Y.-L.",185793
"294","Liu,Y.-L.",185793
"295","Liu,Y.-L.",185793
"296","Cai,J.",185793
"297","Cai,J.",185793
"298","Cai,J.",185793
"299","Li,D.",185793
"300","Li,D.",185793
"301","Qin,B.",185793
"302","Okamoto,Y.",11676
"303","Okamoto,Y.",11676
"304","Okamoto,Y.",11676
"305","Okamoto,Y.",11676
"306","Okamoto,Y.",11676
"307","Okamoto,Y.",11676
"308","Okamoto,Y.",11676
"309","Okamoto,Y.",11676
"310","Shiosaki,K.",11676
"311","Shiosaki,K.",11676
"312","Shiosaki,K.",11676
"313","Shiosaki,K.",11676
"314","Shiosaki,K.",11676
"315","Shiosaki,K.",11676
"316","Shiosaki,K.",11676
"317","Eda,Y.",11676
"318","Eda,Y.",11676
"319","Eda,Y.",11676
"320","Eda,Y.",11676
"321","Eda,Y.",11676
"322","Eda,Y.",11676
"323","Tokiyoshi,S.",11676
"324","Tokiyoshi,S.",11676
"325","Tokiyoshi,S.",11676
"326","Tokiyoshi,S.",11676
"327","Tokiyoshi,S.",11676
"328","Yamaguchi,Y.",11676
"329","Yamaguchi,Y.",11676
"330","Yamaguchi,Y.",11676
"331","Yamaguchi,Y.",11676
"332","Gojobori,T.",11676
"333","Gojobori,T.",11676
"334","Gojobori,T.",11676
"335","Hachimori,T.",11676
"336","Hachimori,T.",11676
"337","Yamazaki,S.",11676
"338","Olaleye,D.O.",11676
"339","Olaleye,D.O.",11676
"340","Olaleye,D.O.",11676
"341","Sheng,Z.",11676
"342","Sheng,Z.",11676
"343","Howard,T.M.",11676
"344","Baylot,F.",11908
"345","Baylot,F.",11908
"346","Moynet,D.J.",11908
"347","Baylot,F.",11908
"348","Baylot,F.",11908
"349","Moynet,D.J.",11908
"350","Georges-Gobinet,A.",11908
"351","Georges-Gobinet,A.",11908
"352","Moynet,D.J.",11908
"353","Baylot,F.",11908
"354","Baylot,F.",11908
"355","Baylot,F.",11908
"356","Edouard,E.",11908
"357","Edouard,E.",11908
"358","Moynet,D.J.",11908
"359","de la Torre,J.C.",1714621
"360","de la Torre,J.C.",1714621
"361","de la Torre,J.C.",1714621
