Virus ,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HIV,HIV,,1300,1636,2163,3354,4662,5471,8150,9323,11730,11812,11986,12755,15479,16135,16846,19204,15998,26697,22260,26236,33759,26433,22150,26679,34283,24503,11658
Dengue v. 2,Dengue virus 2,,55,34,10,93,6,87,29,255,228,324,98,324,758,186,355,372,49372,50844,6161,10199,2179,1395,922,3317,1112,1316,461
Dengue v. 1,Dengue virus 1,,25,23,12,15,0,58,0,56,143,159,283,220,866,115,320,1793,40825,36471,7662,15184,1518,4286,1904,2057,3745,5097,980
Dengue v. 3,Dengue virus 3,,0,15,16,0,0,65,33,437,10,79,512,231,327,934,744,779,20607,23808,16906,10882,288,2372,1143,616,539,458,89
West Nile,West Nile virus,,0,0,0,0,0,37,25,524,153,459,350,1010,648,877,614,608,852,570,30238,24910,1494,1334,3949,855,1267,514,149
Hepacivirus C,Hepacivirus C,,665,620,868,976,783,410,622,977,935,926,1417,1844,2883,3308,3576,3498,3490,4305,3316,3169,4483,3562,4002,4201,5415,4504,1907
Hep C.,Hepatitis C virus subtype 1a,,3,55,28,0,0,22,13,0,77,15,0,0,15,0,195,17874,41069,1703,904,298,313,34,139,293,37,418,78
Hep. B,Hepatitis B virus,,136,197,330,178,206,176,360,422,896,923,1978,1479,2062,2238,3534,3137,4655,2694,3673,4402,4556,4271,4839,4597,3087,3571,2224
Zika,Zika virus,,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,57,0,1,1,90,154,703,747,12483,27983,2199
Hep. E,Hepatitis E virus,,577,81,6,114,84,434,354,441,406,173,188,344,943,1086,1130,1607,1972,2572,2206,2908,2233,2445,2776,2873,2467,4715,1108
