"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Farinha,M.A.","Allan,B.J.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"2","Farinha,M.A.","Gertman,E.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"3","Farinha,M.A.","Ronald,S.L.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"4","Farinha,M.A.","Kropinski,A.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"145","Allan,B.J.","Gertman,E.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"146","Allan,B.J.","Ronald,S.L.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"147","Allan,B.J.","Kropinski,A.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"288","Gertman,E.M.","Ronald,S.L.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"289","Gertman,E.M.","Kropinski,A.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"430","Ronald,S.L.","Kropinski,A.M.",1993,"Submitted (04-AUG-1993) Microbiology, Queen's University, Room	741/743, Botterell Hall, Kingston, Ontario K7L 3N6, Canada","Pseudomonas virus D3","Viruses",31535
"11","Eberle,R.","Zhang,M.",1993,"Submitted (27-JUL-1993) Department of Veterinary Parasitology,	College of Veterinary Medicine, Oklahoma State University,	Stillwater, OK, USA","Cercopithecine alphaherpesvirus 2","Viruses",10317
"21","Eberle,R.","Black,D.",1993,"Submitted (27-JUL-1993) Department of Veterinary Parasitology,	College of Veterinary Medicine, Oklahoma State University,	Stillwater, OK, USA","Cercopithecine alphaherpesvirus 2","Viruses",10317
